dates,close,index,evt
4/11/2008,2.502,41980.1,0
4/14/2008,2.527,41747.3,0
4/15/2008,2.502,41584.1,0
4/16/2008,2.477,41556,0
4/17/2008,2.502,41601.8,0
4/18/2008,2.477,42641.1,0
4/21/2008,2.477,43065.2,0
4/22/2008,2.489,42827.7,0
4/23/2008,2.489,42827.7,0
4/24/2008,2.502,43190.3,0
4/25/2008,2.477,43593.8,0
4/28/2008,2.576,43614,0
4/29/2008,2.477,43054.5,0
4/30/2008,2.502,43468.1,0
5/1/2008,2.502,42664.4,0
5/2/2008,2.527,43425.9,0
5/5/2008,2.527,43457.9,0
5/6/2008,2.527,42896.2,0
5/7/2008,2.502,43272.5,0
5/8/2008,2.502,42310.4,0
5/9/2008,2.626,42034.7,0
5/12/2008,2.527,41638.5,0
5/13/2008,2.527,41831.1,0
5/14/2008,2.502,42522.7,0
5/15/2008,2.502,42624.2,0
5/16/2008,2.551,42498.8,0
5/19/2008,2.551,42498.8,0
5/20/2008,2.601,41296.5,0
5/21/2008,2.601,41011.3,0
5/22/2008,2.626,40752.4,0
5/23/2008,2.626,39961,0
5/26/2008,2.626,39439.4,0
5/27/2008,2.626,40189.3,0
5/28/2008,2.576,39384.9,0
5/29/2008,2.601,39086.5,0
5/30/2008,2.601,39969.6,0
6/2/2008,2.601,40121.1,0
6/3/2008,2.601,40451.7,0
6/4/2008,2.576,39832.1,0
6/5/2008,2.601,40464,0
6/6/2008,2.601,39645.5,0
6/9/2008,2.576,39061.7,0
6/10/2008,2.576,38655.1,0
6/11/2008,2.601,38238.4,0
6/12/2008,2.601,38593.6,0
6/13/2008,2.7,38295.7,0
6/16/2008,2.824,38465.6,0
6/17/2008,3.369,38724.1,0
6/18/2008,3.195,38136.8,0
6/19/2008,3.171,38007,0
6/20/2008,3.096,37912.9,0
6/23/2008,3.146,37583.7,0
6/24/2008,3.245,37275.9,0
6/25/2008,3.171,37572.6,0
6/26/2008,3.27,36578.9,0
6/27/2008,3.27,35829.4,0
6/30/2008,3.22,35089.5,0
7/1/2008,3.27,33208.2,0
7/2/2008,3.195,33566.4,0
7/3/2008,3.195,33919.8,0
7/4/2008,3.195,34300.4,0
7/7/2008,3.245,35010,0
7/8/2008,3.443,34894.7,0
7/9/2008,3.443,35603.3,0
7/10/2008,3.493,35574.6,0
7/11/2008,3.493,35006.5,0
7/14/2008,3.864,35826.3,0
7/15/2008,3.74,35255,0
7/16/2008,3.666,36374.4,0
7/17/2008,3.592,37695.3,0
7/18/2008,3.592,37946.6,0
7/21/2008,3.592,38703.8,0
7/22/2008,3.938,37616.2,0
7/23/2008,3.765,38555.6,0
7/24/2008,3.765,38944.4,0
7/25/2008,3.74,37556.9,0
7/28/2008,3.641,38120.9,0
7/29/2008,3.616,39153.7,0
7/30/2008,3.542,41342.3,0
7/31/2008,3.616,42200.8,0
8/1/2008,3.616,42984.7,0
8/4/2008,3.641,43259.4,0
8/5/2008,3.666,42237.8,0
8/6/2008,3.666,42075.9,0
8/7/2008,3.715,41627.7,0
8/8/2008,3.74,40949.9,0
8/11/2008,3.715,41733.3,0
8/12/2008,3.715,41461.8,0
8/13/2008,3.715,41253.9,0
8/14/2008,3.715,41710.5,0
8/15/2008,3.74,42194.4,0
8/18/2008,3.815,41946.9,0
8/19/2008,3.839,40488.1,0
8/20/2008,3.79,39801.4,0
8/21/2008,3.765,39569.6,0
8/22/2008,3.765,40894.3,0
8/25/2008,3.74,40691.5,0
8/26/2008,3.765,40097.5,0
8/27/2008,3.765,39576,0
8/28/2008,3.74,40150,0
8/29/2008,3.74,39844.5,0
9/1/2008,3.715,39456.8,1
9/2/2008,3.74,40437.1,0
9/3/2008,3.74,40328.5,0
9/4/2008,3.715,39556.4,0
9/5/2008,3.914,39115.6,0
9/8/2008,4.112,40517.1,0
9/9/2008,4.533,40124.6,0
9/10/2008,4.31,39295,0
9/11/2008,4.087,37388.1,0
9/12/2008,4.013,37033.9,0
9/15/2008,3.963,35081.4,1
9/16/2008,3.988,33736.4,0
9/17/2008,3.988,32727.6,0
9/18/2008,4.236,32216.4,0
